scenario,family,episode_count,event_success_rate,legal_coverage_rate,recovery_delay,cumulative_uncovered_time,normalized_distance,load_gap,switch_count,episode_return,final_infeasible_rate,temporary_infeasible_rate,inference_latency_ms
out_of_order_reports,PPO-MLP,18,1.0,1.0,0.8666666666666667,0.6678333333333333,0.10311973892303816,0.375,4.0,18.365785333787628,0.0,0.0,1.7957822222222224
resource_collapse,Current-Pending Exact Planner,6,1.0,1.0,2.5866666666666664,9.014,0.20948537936843434,0.20000000000000004,9.833333333333334,16.33792718882059,0.0,0.0,2.087313603063603
resource_collapse,GPPO-Adaptive,18,1.0,1.0,2.4088888888888893,10.294222222222222,0.21654096064031447,0.2,8.944444444444445,17.479961169506794,0.0,0.0,13.836964437830687
resource_collapse,Greedy Cost,6,1.0,1.0,2.3866666666666667,8.510333333333332,0.1984729735515808,0.20000000000000004,8.833333333333334,16.33792718882059,0.0,0.0,3.4013793091630595
resource_collapse,Min Load,6,1.0,1.0,2.486666666666667,9.012666666666666,0.20141925180652476,0.20000000000000004,9.333333333333334,16.33792718882059,0.0,0.0,0.07992779942279941
resource_collapse,Nearest Legal,6,1.0,1.0,2.486666666666667,9.012666666666666,0.20141925180652476,0.20000000000000004,9.333333333333334,16.33792718882059,0.0,0.0,0.08253849206349206
resource_collapse,PPO-MLP,18,1.0,1.0,2.4866666666666664,9.012666666666666,0.20141925180652476,0.2,9.333333333333334,16.33792718882059,0.0,0.0,1.8541280832130829
task_churn,Current-Pending Exact Planner,6,1.0,1.0,1.4000000000000001,1.6693333333333333,0.06383602885711886,1.2222222222222223,4.0,12.030151565326028,0.0,0.0,12.892936111111112
task_churn,GPPO-Adaptive,18,1.0,1.0,1.3888888888888888,1.613111111111111,0.06491118185264494,1.2253086419753088,3.9444444444444446,12.854936534726923,0.0,0.0,10.483107592592594
task_churn,Greedy Cost,6,1.0,1.0,1.4000000000000001,1.668333333333333,0.06383602885711886,1.2222222222222223,4.0,13.156818231992693,0.0,0.0,8.223751944444444
task_churn,Min Load,6,1.0,1.0,1.4000000000000001,1.668333333333333,0.06383602885711886,1.2222222222222223,4.0,13.156818231992693,0.0,0.0,0.10338277777777777
task_churn,Nearest Legal,6,1.0,1.0,1.4000000000000001,1.668333333333333,0.07365695637359869,1.4444444444444446,4.0,12.112624058168535,0.0,0.0,0.06745583333333334
task_churn,PPO-MLP,18,1.0,1.0,1.4,1.6683333333333332,0.06383602885711886,1.2222222222222223,4.0,13.156818231992695,0.0,0.0,1.4040680555555556
tracking_saturation_release,Current-Pending Exact Planner,6,1.0,1.0,6.2,95.19733333333333,0.09533498952840676,0.3363095238095238,11.0,33.48994067711858,0.0,0.5,1.3248885741656002
tracking_saturation_release,GPPO-Adaptive,18,1.0,1.0,6.288888888888889,97.48994444444443,0.10435099562267013,0.2822337962962963,10.88888888888889,33.79137541126996,0.0,0.47777777777777775,14.485477930352667
tracking_saturation_release,Greedy Cost,6,1.0,1.0,6.933333333333334,110.80466666666665,0.08226700814754169,0.2976190476190476,11.333333333333334,33.8062675369232,0.0,0.5333333333333333,2.491722373510044
tracking_saturation_release,Min Load,6,1.0,1.0,6.966666666666668,110.30666666666666,0.08030963262629236,0.3005952380952381,11.5,33.18174974005878,0.0,0.5,0.08872081727651164
tracking_saturation_release,Nearest Legal,6,1.0,1.0,6.5,102.41566666666665,0.09024488962091803,0.3839285714285714,10.833333333333334,32.7630582617584,0.0,0.5,0.07198553800660504
tracking_saturation_release,PPO-MLP,18,1.0,1.0,6.966666666666667,110.30666666666666,0.08030963262629236,0.3005952380952381,11.5,33.18174974005878,0.0,0.5,2.11104601583811
